run_id,T1,d1,th1,br1,d2,th2,br2
324,0.5,-45.0,0.5,3.0,45.0,1.0,0.5
325,0.5,0.0,1.0,6.0,-45.0,1.0,1.0
326,0.5,-22.5,0.0,0.0,-22.5,0.0,1.0
327,0.5,45.0,0.5,0.5,0.0,0.0,3.0
328,0.5,-45.0,1.0,1.0,0.0,0.0,3.0
329,0.5,22.5,0.0,6.0,22.5,0.5,6.0
330,0.5,0.0,0.5,10.0,45.0,0.5,6.0
331,0.5,45.0,1.0,0.0,45.0,0.5,10.0
332,0.5,-45.0,0.0,0.5,-45.0,0.5,10.0
333,0.5,0.0,0.5,3.0,-22.5,1.0,10.0
334,0.5,-22.5,1.0,6.0,0.0,1.0,0.0
335,0.5,22.5,0.0,10.0,0.0,1.0,0.0
336,0.5,-45.0,0.5,0.0,22.5,1.0,0.0
337,0.5,22.5,1.0,1.0,45.0,0.0,0.5
338,0.5,0.0,0.0,3.0,45.0,0.0,0.5
339,0.5,45.0,0.5,6.0,-45.0,0.0,1.0
340,0.5,-45.0,1.0,10.0,-45.0,0.5,1.0
341,0.5,22.5,0.0,0.5,-22.5,0.5,3.0
342,0.5,-22.5,0.5,1.0,0.0,0.5,3.0
343,0.5,45.0,1.0,3.0,0.0,0.5,6.0
344,0.5,-22.5,0.0,6.0,22.5,1.0,6.0
345,0.5,22.5,0.5,10.0,45.0,1.0,10.0
346,0.5,0.0,1.0,0.0,-45.0,1.0,10.0
347,0.5,45.0,0.0,0.5,-45.0,1.0,0.0
348,0.5,-45.0,0.5,1.0,-22.5,0.0,0.0
349,0.5,0.0,1.0,3.0,0.0,0.0,0.0
350,0.5,-22.5,0.0,10.0,0.0,0.0,0.5
351,0.5,22.5,0.5,0.0,22.5,0.5,0.5
352,0.5,-45.0,1.0,0.5,45.0,0.5,1.0
353,0.5,22.5,0.0,1.0,-45.0,0.5,1.0
354,0.5,0.0,0.5,6.0,-45.0,0.5,3.0
355,0.5,45.0,1.0,10.0,-22.5,1.0,3.0
